Hogwarts|Art
Jelly-Legs Curse|Vesperjelly
Jorren|Lunellejor
Langlock|Zyrenlock
Malkin|Jaxwellkin
Melofors|Pyrrhosmel
Moke|Zarvimoke
Monster Book of Monsters|Virellamon
Mooncalf|Jaxenmoon
Muffliato|Tharimuff
Nimbus 2000|Fenwynnimbus
Niffler|Lunaniff
Obliviate|Seraphiate
Open Sesame|Bramwellopen
Pensieve|Gryllieve
Petrificus Totalus|Cedrificus
Fawkes|Sorrelinx
Pimple Jinx|Vesperjinx
Polyjuice Potion|Vesperjuice
Porteberto|Torrenberto
Portkeys|Ravionkey
Potion of Living Death|Grindeldeath
Protego|Sablego
Punching Telescope|Talvorntel
Sectumsempra|Draxilsect
Silencio|Vandrosil
Sneakoscope|Elowenscope
Spectrespecs|Brindlespec
Stupefy|Rivenfy
Syren|Dariansy
Tales of Beedle the Bard|Liratale
Talvorn|Thornvorn
Thestrals|Vandrelstral
Thorne|Fendrelthorn
Three Broomsticks|Garrickbroom
Time-Turner|Malkinturn
Ton-Tongue Toffee|Durniktoff
Top Box|Vexleybox
Torren|Pindleten
Triwizard Cup|Jorrencup
Unbreakable Vow|Virellevow
U-No-Poo|Sorinaepoo
Vandros|Branwynros
Vesper|Vespera
Wolfsbane Potion|Zyrenbane

Apparition Test|Teleportation Trial
Muggle-Born Registration Commission|Origin Registry
N.E.W.T.s|Mastery Exams
O.W.L.s|Wisdom Trials
Order of the Phoenix|Luminaris
Potterwatch|Wandwave
SPEW|Elven Rights Guild
Slug Club|Mollusk Circle
Sorting Hat|Selector Cap
Chosen One|Destinar
Daily Prophet|Chronicle Quill
Dark Mark|Shadow Sigil
Quibbler|Oddity Press
Second Wizarding War|Arcane Conflict
Taboo|Forbidden Word
Triwizard Tournament|Trivictus Games
Unforgivable Curses|Irredeemable Hexes

Aberforth|Zarveth
Alecto|Virello
Albert|Jaxen
Albus|Tharion
Amos|Fenwick
Andromeda|Lunara
Ariana|Seraphine
Archibald|Bramwell
Aragog|Gryllix
Bagshot|Mirelle
Barty|Quillon
Bathilda|Sorrel
Bellatrix|Vespera
Bill|Torren
Black|Ravion
Borklump|Grindle
Brown|Sable
Buckbeak|Talvorn
Cadogan|Draxil
Carrow|Vandros
Cassandra|Elowen
Cattermole|Brindle
Cedric|Riven
Chang|Syrin
Charlie|Darian
Cho|Lira
Cormac|Thorne
Cornelius|Vandrel
Corner|Fendrel
Crabbe|Garrick
Crookshanks|Malkin
Cresswell|Durnik
Crouch|Vexley
Dobby|Pindle
Dean|Jorren
Delacour|Virellea
Delphini|Sorinae
Doge|Branwyn
Dolores|Vesper
Dominique|Lunelle
Draco|Zyren
Dudley|Tavish
Dumbledore|Eldrin
Dursley|Marnix
Eagleton|Falcor
Edgecombe|Vireen
Elphias|Thalion
Ernie|Bram
Fabian|Torin
Farrell|Jaxwell
Fawkes|Pyrrhos
Fenrir|Grimm
Fleur|Seren
Fred|Jax
Fudge|Marnen
Gaunt|Voldren
Garrick|Tharros
George|Rivena
Gibbon|Vexen
Gideon|Thariona
Ginny|Liraa
Goyle|Draxa
Gornuk|Brindlea
Granger|Sorrell
Granger-Weasley|Vesperae
Gregorovitch|Mirellea
Gregory|Torrena
Grindelwald|Ravenor
Griphook|Grindlea
Greyback|Sablea
Hagrid|Talvorna
Harry|Zarlona
Headless|Draxila
Hepzibah|Vandrosa
Hermione|Virellae
Hopkirk|Elowena
Horace|Brindlen
Hugo|Rivenae
II|Syrina
Igor|Dariana
James|Thornel
Kevin|Vandrela
Kingsley|Fendrela
Kreacher|Garricka
Lavender|Malkina
LeBlanc|Durnika
Lestrange|Vexleyan
Lily|Pindlea
Longbottom|Jorrena
Lorcan|Virellian
Louis|Sorinan
Lovegood|Branwynne
Lucius|Vesperian
Lucy|Lunellen
Luna|Zyrena
Lupin|Tavisha
Lysander|Eldrina
Macmillan|Marnixa
Mad-Eye|Falcora
Mafalda|Vireena
Malfoy|Thaliona
Marietta|Brama
Marvolo|Torina
McGonagall|Jaxwella
McLaggen|Pyrrhosa
Merope|Grimma
Michael|Serena
Minerva|Jaxa
Moaning|Marnena
Morfin|Tharrosa
Muriel|Rivenna
Myrtle|Vexenna
Narcissa|Tharionna
Neville|Lirana
Nick|Draxi
Nigellus|Brindlenna
Norris|Sorrella
Norbert|Vesperanna
Ollivander|Torrenna
Pandora|Ravenora
Pansy|Grindlen
Parkinson|Sabletta
Percy|Talvorna
Petunia|Zarlonel
Peter|Draxilen
Pettigrew|Vandrosen
Phineas|Virellian
Pigwidgeon|Elowenna
Pius|Brindlen
Potter|Rivenel
Prewett|Syrinan
Reginald|Darianel
Regulus|Thornella
Remus|Vandrelen
Riddle|Fendrelen
Rita|Garrickel
Robyn|Malkinel
Rolf|Durnikel
Romilda|Vexleyel
Ron|Pindlen
Rose|Jorrenel
Roxanne|Virellanel
Rowle|Sorinael
Rubeus|Branwynel
Rufus|Vesperel
Runcorn|Lunellenna
Scabbers|Zyrenel
Scamander|Tavishen
Scorpius|Eldrinel
Scrimgeour|Marnixel
Seamus|Falcorel
Severus|Vireenel
Shacklebolt|Thalionel
Shunpike|Bramel
Sir|Torinel
Sirius|Jaxwellen
Skeeter|Pyrrhosel
Slughorn|Grimmel
Smith|Serenel
Snape|Jaxel
Stan|Marnenel
Ted|Voldrenel
Teddy|Tharrosel
Thicknesse|Rivenel
Thistlethwaite|Vexenel
Thomas|Tharionel
Thorfinn|Lirael
Tonks|Draxen
Trevor|Brindlenel
Vane|Sorrelna
Vernon|Vesperanel
Victoire|Mirellanel
Vincent|Torrenel
Voldemort|Ravenorel
Vole|Grindlenel
Winky|Talvornel
Xenophilius|Zarlonel
Yaxley|Draxilenna

Albania|Zarvia
Astronomy Tower|Virellon
Black Lake|Tharionis
Cave with Horcrux|Fenwynn
Clocktower Courtyard|Seraphel
Cokeworth|Bramwell
Cursed Vaults|Gryllix
Death Chamber|Cedrion
Department of Mysteries|Mirellan
Diagon Alley|Quillon
Fifth Floor Corridor|Torrenis
Flamel’s Workshop|Ravion
Flourish and Blotts|Grindle
Forbidden Forest|Sableton
Forest Grove|Draxil
Forest of Dean|Vandros
Gaunt Shack|Elowen
Godric's Hollow|Brindle
Graveyard|Riven
Great Hall|Syrin
Greenhouses|Darian
Grimmauld Place|Lira
Hogsmeade|Fendrel
Hog’s Head Inn|Garrick
Honeydukes|Pindle
Icy Corridor|Sorinae
Knockturn Alley|Vesper
Leaky Cauldron|Lunelle
Lestrange Mausoleum|Zyren
Library|Tavish
Little Hangleton|Eldrin
Lovegood House|Marnix
Malfoy Manor|Falcor
Map Chamber|Vireen
Ministry of Magic|Thalion
Mould-on-the-Wold|Bram
Ottery St Catchpole|Torin
Owlery|Jaxwell
Paris|Pyrrhos
Privet Drive|Jaxmere
Riddle House|Bramwell
Room of Requirement|Gryllix
Shell Cottage|Cedrion
Shrieking Shack|Mirellan
Spinner's End|Sorrelis
St Mungo's Hospital|Vesperian
Three Broomsticks|Torrenis
Top Box|Ravion
Training Grounds|Grindle
Whomping Willow|Talvornis
Wizengamot Courtroom|Draxil
